İŞLEM YAPAN PERSONEL;FATURA TARİHİ;MARKA;İŞLETME ADI;CİHAZIN ADI;MODEL;CİHAZ SERİ NO;"TEKNİK SERVİSE 
 GİRİŞ TARİHİ";"TEKNİK SERVİSTEN 
 ÇIKIŞ TARİHİ";CİHAZ SORUNU;CİHAZ SORUN AÇIKLAMALARI;YAPILAN İŞLEM;TEKNİK SERVİS MASRAFI;"BİZİM MÜŞTERİYE
 SÖYLEDİĞİMİZ  MASRAF";ONAYLAYAN KİŞİ;"CONNECTE
 YAZILDI MI";;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF İZMİR ÖRNEKKÖY; HP SERVER;;CN764208X8;30.11.2017;;SORUN BELLİ DEGİL;;METİNDE ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ÖERSİN MARİNA;ROBOTPOS CİHAZ;;R2016002042;04.12.2017;;BEYAZ EKRAN SORUNU MÜŞTERİ EKRANI KIRIK VE KART OKUYUCU KIRIK. OLARAK GELDİ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;OSMANLIOĞLU GÜLTEPE;PARA ÇEKMECESİ;;SM:4170200033;07.11.2017;;KAPANMAMA SORUNU ANAHTAR İLE ALINDI;;TEKNİK SERVİS METİN BEYDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI LEVENT ÇARŞI;ROBOTPOS CİHAZ;;SN:R2017001009;09.12.2017;;CİHAZIN KART OKUYUCUSU VE MÜŞTERİ EKRANI ÇALIŞMIYOR;;METİNDE;CİHAZ ONARLIP ŞUBEYE TESLİME DİLDİ MUADİL GERİ ALINDI.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;HIZLI VE KÖFTELİ GAZİANTEP SANKOPARK;PARA ÇEKMECESİ;;SN:415170200063;11.12.2017;;KAPANMAMA SORUNU ANAHTAR VE KABLO İLE;;METİNDE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;PARA ÇEKMECESİ;;SN:842536;13.12.2017;;çalışmıyor----anahtar değişimi;;metinde;25usd+kdv;enes bey onayladı;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KÖFTECİ YUSUF MERKEZ;PARA ÇEKMECESİ;;sn:155243;13.12.2017;;anahtar yok----anahtar değişimi;;metinde;25 usd+kdv;enes bey onayladı;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYSI ANTALYA TERRACITY;ROBOTPOS CİHAZ;;SN:2016001032;14.12.2017;;KAPANMA SORUNU ;;BİOS PİLİ DEĞİŞTİRLDİ VE ELEKTİRİK BOŞALTILDI.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI CEVAHİR AVM;MÜŞTERİ EKRANI;;SN:R2016301059;15.12.2017;;EKRAN OYNATILINCA KARINCALANMA;;METİ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVADA TAVVUK BURSA NİLÜFER CARREFOUR;ROBOTPOS CİHAZ;;SN:2016001049;15.12.2017;;müşteri ekranı çalışmıyor;;teknik servis metin bey'de;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;VE ALA MANGAL BEYLİKDÜZÜ 5M MİGROS;ROBOTPOS YAZICI;;SV:1612090033;15.12.2017;;KAPAK KAPANMAMA SORUNU;;teknik servis metin bey'de;Yazıcı onarımı yapılamadığı için sıfır yazıcı geldi, onun teslimatı yapılacak. 05.01.2018 ofis içinde ;;;;;;;;;;;;;;;;;;;;;;;;;;
